Nome,Genere,Diffusione
CRISPOLTO,M,4
CRISTANO,M,4
CRISTANZIANO,M,4
CRISTIAN,M,2
CRISTIANO,M,1
CRISTINO,M,3
CRISTO,M,3
CRISTOFALO,M,3
CRISTOFANO,M,3
CRISTOFARO,M,3
CRISTOFERO,M,3
CRISTOFOLO,M,3
CRISTOFORO,M,2
CRISTOPHER,M,2
CROCEFISSO,M,3
CROCIFISSO,M,3
CRUCIANO,M,3
CUNEGONDO,M,4
CUNIBERTO,M,4
CUONO,M,4
CUPIDO,M,3
CURIO,M,3
CURZIO,M,3
CUSMANO,M,4
CUSTODE,M,3
CUSTODIO,M,4
CUSUMANO,M,4
DAFNO,M,4
DAGOBERTO,M,4
DALCISIO,M,4
DALCISO,M,4
DALINDO,M,4
DALINO,M,4
DALIO,M,4
DALISO,M,4
DALMATO,M,4
DALMAZIO,M,3
DALMAZZO,M,4
DALMINO,M,4
DALMIRO,M,4
DALMO,M,4
DAMASCO,M,4
DAMASO,M,4
DAMIANO,M,2
DAMINO,M,4
DANDOLO,M,4
DANIEL,M,2
DANIELE,M,1
DANIELLO,M,3
DANILLO,M,3
DANILO,M,1
DANINO,M,3
DANIO,M,3
DANNUNZIO,M,3
DANTE,M,1
DANTINO,M,3
DARDANO,M,4
DARDO,M,4
DARIO,M,4
DARMO,M,4
DARVINO,M,4
DATO,M,4
DAVID,M,2
DAVIDE,M,1
DAVIDICO,M,4
DAVIDINO,M,3
DAVINIO,M,3
DAVINO,M,3
DAZEGLIO,M,4
DAZELIO,M,4
DAZIO,M,4
DAZZO,M,4
DECENZIO,M,4
DECIMINO,M,4
DECIMO,M,3
DECIO,M,3
DEDALO,M,3
DEFENDENTE,M,3
DEFENDI,M,4
DEFENDO,M,4
DEIMOS,M,4
DELCISO,M,4
DELFINO,M,4
DELFIO,M,4
DELFO,M,4
DELINDO,M,4
DELINO,M,4
DELIO,M,4
DELISIO,M,4
DELISO,M,4
DELIZIO,M,4
DELLO,M,4
DELMINO,M,4
DELMIRO,M,4
DELMO,M,3
DEMARO,M,4
DEMETRIO,M,2
DEMO,M,3
DEMOSTENE,M,3
DENI,M,3
DENIS,M,2
DENISIO,M,3
DENNIS,M,2
DEO,M,3
DEODATO,M,3
DEONISIO,M,3
DERINO,M,4
DERIO,M,4
DERNINO,M,4
DERNO,M,4
DERO,M,4
DESIDERATO,M,3
DESIDERIO,M,3
DESIO,M,4
DESOLINO,M,3
DESTINO,M,4
DEVID,M,3
DIACO,M,4
DIAMANTE,M,4
DIANELLO,M,4
DIANO,M,4
DIAZ,M,4
DIDACO,M,4
DIDIMO,M,3
DIDIO,M,3
DIEGO,M,1
DILETTO,M,3
DILIO,M,3
DILLO,M,4
DILO,M,4
DIMITRIO,M,3
DIMITRIOS,M,3
DIMMO,M,4
DIMO,M,4
DINETTO,M,3
DINO,M,1
DIOCLEZIANO,M,3
DIODATO,M,3
DIODORINO,M,3
DIODORO,M,3
DIOGENE,M,3
DIOMEDE,M,3
DIOMIRO,M,4
DIONE,M,3
DIONELLO,M,3
DIONIGI,M,3
DIONIGIO,M,3
DIONINO,M,4
DIONISI,M,4
DIONISIO,M,3
DIONISO,M,3
DIOTISALVI,M,3
DIRCEO,M,4
DISMO,M,4
DIVINANGELO,M,4
DIVINO,M,4
DIVIO,M,4
DIVO,M,4
DOLCINO,M,3
DOLFINO,M,4
DOLINDO,M,4
DOLORINO,M,4
DOLORIS,M,4
DOMENICANGELO,M,3
DOMENICANTONIO,M,4
DOMENICHINO,M,4
DOMENICO,M,1
DOMENICUCCIO,M,3
DOMILIANO,M,4
DOMINATORE,M,4
DOMITILLO,M,4
DOMIZIANO,M,3
DOMIZIO,M,3
DONALDO,M,3
DONATANGELO,M,3
DONATANTONIO,M,3
DONATELLO,M,2
DONATINO,M,3
DONATO,M,2
DONATUCCIO,M,3
DONELIO,M,4
DONELLO,M,4
DONILLO,M,4
DONINO,M,4
DONIZIO,M,4
DONNINO,M,4
DONO,M,4
DORANDO,M,3
DORETTO,M,3
DORIANO,M,3
DORICO,M,3
DORIDE,M,3
DORIGO,M,3
DORINDO,M,4
DORINO,M,4
DORIO,M,4
DORLIGO,M,4
DORO,M,4
DOROTEO,M,3
DOSOLINO,M,4
DOVIGLIO,M,4
DOVILIO,M,4
DRAGO,M,3
DRUSIANO,M,4
DRUSO,M,3
DUCCIO,M,2
DUILIO,M,2
DUINO,M,4
DUMAS,M,3
DURANDO,M,4
DURANTE,M,4
DURANTINO,M,4
EBERARDO,M,3
EBO,M,4
ECCELSO,M,4
EDDO,M,4
EDELBERTO,M,4
EDERINO,M,4
EDERO,M,4
EDESIO,M,4
EDGARDO,M,3
EDILBERTO,M,3
EDILIANO,M,4
EDILIO,M,4
EDINO,M,4
EDIO,M,4
EDIPO,M,3
EDMEO,M,4
EDMO,M,4
EDMONDO,M,2
EDO,M,3
EDOARDINO,M,3
EDOARDO,M,1
EDOVILIO,M,4
EDRO,M,4
EDUARDO,M,3
